player_name,injury_date,injury_desc,injury_type,injury_severity,achilles_rupture_binary
Gerald Wilkins,1994-11-03,placed on IL with torn Achilles tendon,rupture,high,1
Stanley Roberts,1994-11-03,placed on IL with ruptured left Achilles tendon,rupture,high,1
Kevin Edwards,1994-11-30,placed on IR with partially torn left Achilles tendon,rupture,high,1
Felton Spencer,1995-01-17,place on IR with torn left Achilles tendon (out for season),rupture,high,1
Scott Burrell,1995-04-04,placed on IR with partial tear of right Achilles tendon (out for season),rupture,high,1
David Benoit,1996-10-31,placed on IL with torn right Achilles tendon,rupture,high,1
LaPhonso Ellis,1997-04-05,placed on IL with ruptured right Achilles tendon,rupture,high,1
Derrick McKey,1997-04-11,placed on IR with ruptured Achilles tendon,rupture,high,1
Randy Brown,1998-03-07,placed on IR with partially torn left Achilles tendon,rupture,high,1
Christian Laettner,1999-02-04,placed on IL with torn right Achilles tendon,rupture,high,1
Patrick Ewing,1999-11-01,placed on IR with Achilles tendinitis / partially torn Achilles,rupture,high,1
Jim McIlvaine,2001-01-23,placed on IL with strained right calf and partially torn Achilles tendon (out 4-6 weeks),rupture,high,1
Maurice Taylor,2001-10-29,placed on IL with torn right Achilles tendon,rupture,high,1
Greg Anthony,2002-01-26,placed on IR with partially torn right Achilles tendon,rupture,high,1
Don Reid,2002-10-28,placed on IL with ruptured right Achilles tendon,rupture,high,1
Emanual Davis,2002-12-23,placed on IR with a torn right Achilles tendon,rupture,high,1
Courtney Alexander,2003-10-27,placed on IL with torn right Achilles tendon,rupture,high,1
Lawrence Funderburke,2004-02-16,placed on IL recovering from surgery on left Achilles tendon,rupture,high,1
Voshon Lenard,2004-11-10,placed on IL with torn left Achilles tendon,rupture,high,1
Dan Dickau,2005-12-19,placed on IL with ruptured Achilles tendon (out for season),rupture,high,1
Laron Profit,2005-12-23,placed on IL with ruptured left Achilles tendon,rupture,high,1
Elton Brand,2007-10-29,placed on IL recovering from surgery on left Achilles tendon,rupture,high,1
Mehmet Okur,2010-05-08,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season),rupture,high,1
Jonas Jerebko,2010-10-27,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season),rupture,high,1
DeSagana Diop,2011-01-03,placed on IL with ruptured right Achilles tendon (out for season),rupture,high,1
Darrell Arthur,2011-12-26,placed on IL with ruptured right Achilles tendon (out for season),rupture,high,1
Chauncey Billups,2012-02-08,placed on IL with torn left Achilles tendon (out for season),rupture,high,1
Elliot Williams,2012-10-31,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season),rupture,high,1
Kobe Bryant,2013-04-14,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season),rupture,high,1
Jeffery Taylor / Jeff Taylor,2014-01-14,placed on IL with torn right Achilles tendon (out for season),rupture,high,1
Brandon Jennings,2015-01-27,placed on IL with torn left Achilles (out for season),rupture,high,1
Wesley Matthews / Wes Matthews Jr.,2015-03-07,placed on IL with torn left Achilles tendon (out for season),rupture,high,1
Nikola Pekovic,2015-10-28,placed on IL recovering from surgery on right Achilles,rupture,high,1
Rudy Gay,2017-01-20,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season),rupture,high,1
Sheldon McClellan / Sheldon Mac,2017-10-18,placed on IL recovering from surgery to repair torn left Achilles tendon,rupture,high,1
DeMarcus Cousins,2018-01-30,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season),rupture,high,1
C.J. Wilcox,2018-09-21,placed on IL with torn right Achilles tendon (out for season),rupture,high,1
John Wall,2018-12-28,placed on IL with torn left Achilles tendon (out for season),rupture,high,1
Jose Juan Barea / Jose Barea / J.J. Barea,2019-01-13,placed on IL with torn right Achilles tendon (out for season),rupture,high,1
Kevin Durant,2019-06-13,placed on IL with torn right Achilles tendon (out for season),rupture,high,1
Rodney Hood,2019-12-07,placed on IL with torn left Achilles tendon (out for season),rupture,high,1
David Nwaba,2019-12-21,placed on IL with torn right Achilles tendon (out for season),rupture,high,1
Dwight Powell,2020-01-22,placed on IL with torn right Achilles tendon (out for season),rupture,high,1
Klay Thompson,2020-11-19,placed on IL with torn right Achilles tendon (out for season),rupture,high,1
Brandon Clarke,2023-03-04,placed on IL with torn left Achilles tendon (out for season),rupture,high,1
DaRon Holmes II,2024-07-12,reported torn right Achilles tendon,rupture,high,1
James Wiseman,2024-10-23,reported torn left Achilles tendon,rupture,high,1
Isaiah Jackson,2024-11-01,reported torn right Achilles tendon,rupture,high,1
Dru Smith,2024-12-23,reported ruptured left Achilles tendon,rupture,high,1
Dejounte Murray,2025-01-31,reported torn right Achilles tendon,rupture,high,1
Damian Lillard,2025-04-27,reported torn left Achilles tendon,rupture,high,1
Jayson Tatum,2025-05-12,reported torn right Achilles tendon,rupture,high,1
Tyrese Haliburton,2025-06-22,reported torn right Achilles tendon,rupture,high,1
